url,artist,name,artist_pop,track_pop,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,bpm,time_signature,duration_ms,app,release_date,image,songplay,C1,M1,K1,mode,key,camelot,
spotify:track:6UXWq2vWpHeTZlMIFyEWIn,Jena Rose,Being Good Is Boring,40,55,0.767,0.758,-3.191,0.084,0.0368,0,0.0682,0.844,111.986,4,160982,tiktok,7/29/2022,https://i.scdn.co/image/ab67616d0000b27334a27a335079bc69f72781b0,https://p.scdn.co/mp3-preview/ac20e9f656890d84adb9a7427b4d72a792eb379f?cid=774b29d4f13844c495f206cafdad9c86,11A,0,11,12,A,12A,
spotify:track:58HvfVOeJY7lUuCqF0m3ly,Elley Duhé,MIDDLE OF THE NIGHT,75,91,0.41,0.611,-8.271,0.0467,0.0228,0,0.116,0.0899,185.727,3,184448,tiktok,1/10/2020,https://i.scdn.co/image/ab67616d0000b27353a2e11c1bde700722fecd2e,https://p.scdn.co/mp3-preview/01c7e5d3addb5c2f8535145f0136087836882525?cid=774b29d4f13844c495f206cafdad9c86,4A,0,4,5,A,5A,
spotify:track:3IAfUEeaXRX9s9UdKOJrFI,Anitta,Envolver,80,86,0.812,0.736,-5.421,0.0833,0.152,0.00254,0.0914,0.396,91.993,4,193806,tiktok,11/11/2021,https://i.scdn.co/image/ab67616d0000b27332f29a61d5e3c3bb3c7ae510,https://p.scdn.co/mp3-preview/784196314fb6965fbe3a326ff543c8dd6e944ab4?cid=774b29d4f13844c495f206cafdad9c86,4A,0,4,5,A,5A,
spotify:track:5y5zX8PE47DmeI5g69SKXX,Jt5k,AMG,36,0,0.802,0.509,-6.889,0.181,0.0283,0,0.307,0.0567,87.849,4,135000,tiktok,8/19/2022,https://i.scdn.co/image/ab67616d0000b27340a7487580e77df9e1c45627,https://p.scdn.co/mp3-preview/01fb38e161b1c13551ec288367b66fcfba79c247?cid=774b29d4f13844c495f206cafdad9c86,10A,0,10,11,A,11A,
spotify:track:76OGwb5RA9h4FxQPT33ekc,Rosa Linn,SNAP,74,89,0.563,0.639,-8.205,0.0684,0.107,1.06E-05,0.446,0.518,169.985,4,179551,tiktok,3/19/2022,https://i.scdn.co/image/ab67616d0000b2731391b1fdb63da53e5b112224,https://p.scdn.co/mp3-preview/a020cbe5950aed4af7a5678260290b54f9bc266a?cid=774b29d4f13844c495f206cafdad9c86,0B,1,0,1,B,1B,
spotify:track:2cSdAkzAf2T4j4aLvx4LLz,Disco Lines,Baby Girl,59,76,0.73,0.907,-3.72,0.0606,0.0921,0.114,0.23,0.249,120.968,4,111074,tiktok,6/15/2022,https://i.scdn.co/image/ab67616d0000b27345e61dc802ecd73217eb5cfc,https://p.scdn.co/mp3-preview/a9dfdb6d0c4faec50646ac0bb68af4d9c3ddf7a9?cid=774b29d4f13844c495f206cafdad9c86,2B,1,2,3,B,3B,
spotify:track:0C8yEqa9DemIs3nm5YuzHw,KillBunk,Flex On My Ex (with Bankrol Hayden),60,57,0.619,0.707,-8.033,0.099,0.00601,0,0.0946,0.365,85.285,5,166805,tiktok,7/25/2022,https://i.scdn.co/image/ab67616d0000b2735d87777faa794372d2825daf,https://p.scdn.co/mp3-preview/997f39a12b321d87027506fe70dba629bb10c713?cid=774b29d4f13844c495f206cafdad9c86,1B,1,1,2,B,2B,
spotify:track:2DgdHcjWmO3qd50RzuBLgZ,Panic! At The Disco,House of Memories,78,86,0.506,0.817,-5.051,0.0335,0.00272,0,0.0486,0.506,109.952,4,208707,tiktok,1/15/2016,https://i.scdn.co/image/ab67616d0000b27323152d9337d6c57b116ed13a,https://p.scdn.co/mp3-preview/617c372ea21745b87a21e4f251a62c0c723972e7?cid=774b29d4f13844c495f206cafdad9c86,11A,0,11,12,A,12A,
spotify:track:30N9iQ35AyTPQXDdoNus8u,Arman Aydin,The Plan,64,58,0.812,0.653,-5.849,0.0361,0.0059,0,0.105,0.864,124.034,4,135484,tiktok,7/8/2022,https://i.scdn.co/image/ab67616d0000b2736eee0f3c17cad462ac3d0e4d,https://p.scdn.co/mp3-preview/45393b8fbdb0420061a9ea39c4c736d710bd180d?cid=774b29d4f13844c495f206cafdad9c86,5A,0,5,6,A,6A,
spotify:track:1r8ZCjfrQxoy2wVaBUbpwg,The Kid LAROI,Thousand Miles,83,84,0.376,0.657,-4.658,0.0768,0.0858,0,0.0884,0.203,80.565,4,164782,tiktok,4/22/2022,https://i.scdn.co/image/ab67616d0000b27386322307ddfb6e9c87b82d39,https://p.scdn.co/mp3-preview/548d2f35f3fb0e53673c96392a851ec3c5813db6?cid=774b29d4f13844c495f206cafdad9c86,7B,1,7,8,B,8B,
spotify:track:27NovPIUIRrOZoCHxABJwK,Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),81,86,0.736,0.704,-7.409,0.0615,0.0203,0,0.0501,0.894,149.995,4,212000,tiktok,7/23/2021,https://i.scdn.co/image/ab67616d0000b273ba26678947112dff3c3158bf,https://p.scdn.co/mp3-preview/c1ab4a1b3403a8f6ac578ab5081f295751e9f1ca?cid=774b29d4f13844c495f206cafdad9c86,3A,0,3,4,A,4A,
